client_type,age,annual_income,loan_amount,loan_duration_months,interest_rate,past_defaults,credit_history_years,existing_loans,monthly_payment_ratio,collateral_value,days_late_avg,sector_Commerce,sector_Industrie,sector_Services,sector_Transport,country_Congo,country_Gabon,country_Tchad
-0.027292697262357602,0.05557109410572626,-1.4436843653585576,0.6234665923996798,0.25289084445934007,0.48077287248010325,29.919890057432095,0.006951510319163038,-0.07684234384741226,6.596864820652306,0.06344029390760955,39.56941597740075,0.0195145517952365,-0.04844240397787824,0.08179717415424399,-0.03174410529612567,-0.0001567770146333886,-0.013053352093873151,0.29532862555733425
0.4354197881498359,0.3163974163054225,15.885937410157974,0.22255265454091352,0.16084919563999178,0.16693805833345005,28.87776558603427,0.029450075819963832,0.0799262783991916,6.359177395635624,0.02298118663422742,23.510441215092648,0.020129281486343117,-0.1682772522976751,-0.030522329975011437,-0.028004677753014132,0.0013525708259450328,-0.006360929238016525,-0.052282604714333804
-0.005426034794640477,-0.22638402223413742,-0.10495113537703941,0.034785307007938325,-1.7767207414745552,-0.042729612670949726,-38.88977066525471,2.9024849801439863,0.5040519969228774,3.1569391715218877,0.48408383962485535,-38.81243873268247,-0.07954131546148052,-0.010698508342402328,-0.02908326978211959,-0.09334120953592953,0.020778424938850442,-0.014381920095658628,-0.04419755920550798
-0.007258005883956143,0.5000236102199255,-8.867810702439739,-0.19585423104168703,0.2897808715854845,-0.22554735566965178,24.787237882552315,-0.4744452097631269,0.04024115374237449,-9.748670061465402,0.079515486584663,-38.891658357515965,0.01848156307860172,-0.009599949503420023,-0.0345589270968142,-0.058409095514183156,0.0002993025011840741,-0.010707266079600614,0.03317603973212549
-0.11765086727523374,-0.10200022694565372,10.810946528023212,-0.15536897698844881,0.19169353541706374,-0.024320229939566812,28.875192589422312,-0.31547465206643793,-0.1042305029004877,3.7248454184407893,0.046186276658315865,12.809510302516259,0.019509845059315238,-0.25901961888219566,0.07605638238629055,-0.03221213545146621,0.0002350309423896733,-0.006929638068934578,0.2863885780175923
-0.028626847633253558,-0.48934613406783595,13.171739867997546,0.14651310812646917,0.32784151703583675,-0.08374556234566881,26.925044033666392,0.02045041749557392,0.15103536618728586,0.8189791038621186,-0.033522497262184064,-38.0358732340691,0.018152349009304715,-0.05890911559280204,0.04195883491739423,-0.060142325274252915,0.0037126804795221163,-0.0049689032433773124,-0.04713579468428963
-0.011738958514080347,-0.3634101522763748,-10.902921061000269,-0.09678158882523058,0.22523373672533006,-0.07682649478027404,28.900258795475928,-0.308579369917904,0.05261976784500919,13.692906446964889,-0.004703421989207529,18.200033983673283,0.019642104132230248,0.018199307581181115,-0.03074339252854702,-0.02875197753953327,0.0007296929187987585,-0.013598884578410667,-0.03834923261075152
0.036538032487416286,0.0635004788894996,-14.065501395181869,-1.0597477302368863,-0.2268281270046513,-0.08979374097233514,23.996955883901123,1.7139568228095134,0.08154399505050922,3.7508427445407535,-0.03271609439531296,-29.883129722674806,0.008615582804890942,-0.00777086720050261,0.014460312194081514,-0.058339493100680935,-0.020436790525016707,0.03132387455284587,-0.04624964852754942
-0.025469442003555682,-0.03530080406629988,-9.87260664495188,0.762490071749177,0.2787540414304454,0.4882258393705286,30.45557005089644,-0.26042821096576946,-0.06343410377872345,13.535378254041941,-0.16478470024442204,38.518362323043405,0.0195145517952365,-0.03624850592449806,-0.04484911130041285,0.11113143106600333,-0.00020186982928552212,-0.013053352093873151,-0.02640516879146774
0.03925793449583527,0.26682301032944405,6.074554919766143,-0.36987355902087554,-1.6563338677303212,0.05773951367170441,-41.84244097040112,-1.6861136290757668,0.6002098785406889,18.21665074285461,-0.2296749701176741,-41.21441198201548,-0.10524448518147249,-0.03661823370603486,-0.2166818091032437,-0.07189302232415123,-0.014231321633566408,-0.006510131926634283,0.010121026293626307
